집계년도,시군명,관리기관명,단속일시정보,단속장소,단속방법,데이터기준일자,단속일시_월,단속일시_연,단속일시_일,단속일시_요일,단속일시_시,단속일시_isdaytime,단속일시_season,latitude,longitude
2022,수원시,영통구청,2022-05-02 20:45:00,망포동 영통로153번길,주행형,2023-12-01,5,2022,2,Monday,20,night,spring,37.241544632674,127.052535283091
2022,수원시,영통구청,2022-03-12 17:54:00,영통구 영통동1079,국민신문고,2023-12-01,3,2022,12,Saturday,17,afternoon,spring,37.2510799870911,127.07545367346
2022,수원시,장안구청,2022-06-20 14:44:00,연무동 창훈로30번길,주행형,2023-12-01,6,2022,20,Monday,14,afternoon,summer,37.2957385575852,127.031188705425
2022,수원시,팔달구청,2022-06-10 14:11:00,인계동 942-1 (교차로모퉁이 5m 이내),국민신문고,2023-12-01,6,2022,10,Friday,14,afternoon,summer,37.2766566445164,127.031130768017
2022,수원시,팔달구청,2022-03-21 11:53:00,경기도수원시팔달구화서동 수원시 팔달구 화산로 17번길 6,보행,2023-12-01,3,2022,21,Monday,11,morning,spring,37.2873774434223,126.985501191558
2022,수원시,장안구청,2022-06-07 10:48:00,천천동 만석로19번길,주행형,2023-12-01,6,2022,7,Tuesday,10,morning,summer,37.2965119918721,126.98348691595
2022,수원시,영통구청,2022-06-02 19:23:00,매탄동 삼성로,주행형,2023-12-01,6,2022,2,Thursday,19,night,summer,37.2581834532275,127.056915687328
2022,수원시,팔달구청,2022-02-23 18:57:00,경기도수원시팔달구매산로1가 수원시 팔달구 매산로1가 8,보행,2023-12-01,2,2022,23,Wednesday,18,night,winter,37.268591105334,126.999612278136
2022,수원시,영통구청,2022-06-28 08:00:00,매탄동 동탄원천로1109번길,주행형,2023-12-01,6,2022,28,Tuesday,8,morning,summer,37.2701233075879,127.055851454767
2022,수원시,권선구청,2022-05-23 10:52:00,서둔동 서호동로26번길,주행형,2023-12-01,5,2022,23,Monday,10,morning,spring,37.2676896584778,126.99135206783
